epoch,step,train_loss
0,49,10.659676551818848
1,99,9.218199729919434
2,149,9.014457702636719
3,199,8.910396575927734
4,249,8.836825370788574
5,299,8.776973724365234
6,349,8.73837661743164
7,399,8.696234703063965
8,449,8.659276962280273
9,499,8.633495330810547
10,549,8.60487174987793
11,599,8.576951026916504
12,649,8.559582710266113
13,699,8.536083221435547
14,749,8.522701263427734
15,799,8.506381034851074
16,849,8.481366157531738
17,899,8.475325584411621
18,949,8.454928398132324
19,999,8.439521789550781
20,1049,8.428622245788574
21,1099,8.414693832397461
22,1149,8.403284072875977
23,1199,8.392525672912598
24,1249,8.377551078796387
25,1299,8.371127128601074
26,1349,8.361444473266602
27,1399,8.347028732299805
28,1449,8.340561866760254
29,1499,8.325905799865723
30,1549,8.316709518432617
31,1599,8.312640190124512
32,1649,8.297903060913086
33,1699,8.297416687011719
34,1749,8.287372589111328
35,1799,8.27229118347168
36,1849,8.27164363861084
37,1899,8.261159896850586
38,1949,8.250738143920898
39,1999,8.24300765991211
40,2049,8.240303039550781
41,2099,8.22523021697998
42,2149,8.224410057067871
43,2199,8.21347713470459
44,2249,8.213737487792969
45,2299,8.204278945922852
46,2349,8.191258430480957
47,2399,8.193302154541016
48,2449,8.180362701416016
49,2499,8.172659873962402
50,2549,8.17092514038086
51,2599,8.161603927612305
52,2649,8.158394813537598
53,2699,8.15347671508789
54,2749,8.142483711242676
55,2799,8.142447471618652
56,2849,8.133465766906738
57,2899,8.125240325927734
58,2949,8.123883247375488
59,2999,8.116394996643066
60,3049,8.106765747070312
61,3099,8.105825424194336
62,3149,8.097439765930176
63,3199,8.097439765930176
64,3249,8.092547416687012
65,3299,8.079246520996094
66,3349,8.08358383178711
67,3399,8.072502136230469
68,3449,8.065995216369629
69,3499,8.063185691833496
70,3549,8.057363510131836
71,3599,8.052872657775879
72,3649,8.049161911010742
73,3699,8.040419578552246
74,3749,8.04006290435791
75,3799,8.036192893981934
76,3849,8.027298927307129
77,3899,8.025796890258789
78,3949,8.01620101928711
79,3999,8.01146411895752
80,4049,8.01209545135498
81,4099,8.00142765045166
82,4149,8.005006790161133
83,4199,7.9986724853515625
84,4249,7.987440586090088
85,4299,7.9909281730651855
86,4349,7.9835357666015625
87,4399,7.976353168487549
88,4449,7.972015857696533
89,4499,7.972109794616699
90,4549,7.960090160369873
91,4599,7.962364673614502
92,4649,7.954217433929443
93,4699,7.956892013549805
94,4749,7.950225830078125
95,4799,7.939723014831543
96,4849,7.9444260597229
97,4899,7.933460712432861
98,4949,7.928218841552734
99,4999,7.928822040557861
