epoch,step,train_loss
0,49,10.423901557922363
1,99,9.076227188110352
2,149,8.91954517364502
3,199,8.833159446716309
4,249,8.770249366760254
5,299,8.71558666229248
6,349,8.680898666381836
7,399,8.6425199508667
8,449,8.609694480895996
9,499,8.586856842041016
10,549,8.560381889343262
11,599,8.534087181091309
12,649,8.517997741699219
13,699,8.495523452758789
14,749,8.482982635498047
15,799,8.46737289428711
16,849,8.442745208740234
17,899,8.437145233154297
18,949,8.417222023010254
19,999,8.402233123779297
20,1049,8.391698837280273
21,1099,8.37805461883545
22,1149,8.366943359375
23,1199,8.356457710266113
24,1249,8.341732025146484
25,1299,8.335389137268066
26,1349,8.325870513916016
27,1399,8.311664581298828
28,1449,8.30533218383789
29,1499,8.29073715209961
30,1549,8.281717300415039
31,1599,8.277731895446777
32,1649,8.263079643249512
33,1699,8.2627534866333
34,1749,8.252857208251953
35,1799,8.2379150390625
36,1849,8.237406730651855
37,1899,8.227056503295898
38,1949,8.2167387008667
39,1999,8.209013938903809
40,2049,8.206425666809082
41,2099,8.191472053527832
42,2149,8.190765380859375
43,2199,8.17994213104248
44,2249,8.180307388305664
45,2299,8.170955657958984
46,2349,8.158031463623047
47,2399,8.160174369812012
48,2449,8.147331237792969
49,2499,8.139718055725098
50,2549,8.138072967529297
51,2599,8.128841400146484
52,2649,8.125720024108887
53,2699,8.120887756347656
54,2749,8.109979629516602
55,2799,8.110023498535156
56,2849,8.101123809814453
57,2899,8.092977523803711
58,2949,8.091700553894043
59,2999,8.084290504455566
60,3049,8.074738502502441
61,3099,8.073868751525879
62,3149,8.065510749816895
63,3199,8.065587043762207
64,3249,8.060771942138672
65,3299,8.047544479370117
66,3349,8.051958084106445
67,3399,8.040936470031738
68,3449,8.034438133239746
69,3499,8.03170394897461
70,3549,8.025957107543945
71,3599,8.0215425491333
72,3649,8.017909049987793
73,3699,8.009241104125977
74,3749,8.00896167755127
75,3799,8.005166053771973
76,3849,7.996347427368164
77,3899,7.99492073059082
78,3949,7.985397815704346
79,3999,7.980736255645752
80,4049,7.981441020965576
81,4099,7.97084903717041
82,4149,7.974503993988037
83,4199,7.9682416915893555
84,4249,7.957083702087402
85,4299,7.9606475830078125
86,4349,7.9533281326293945
87,4399,7.946216583251953
88,4449,7.94195556640625
89,4499,7.9421234130859375
90,4549,7.930176258087158
91,4599,7.93251895904541
92,4649,7.924405097961426
93,4699,7.9271559715271
94,4749,7.920565128326416
95,4799,7.910139560699463
96,4849,7.914919376373291
97,4899,7.90402889251709
98,4949,7.898864269256592
99,4999,7.8995442390441895
