epoch,step,train_loss
0,49,10.479883193969727
1,99,9.182040214538574
2,149,8.974018096923828
3,199,8.879072189331055
4,249,8.813813209533691
5,299,8.756470680236816
6,349,8.719980239868164
7,399,8.679766654968262
8,449,8.645556449890137
9,499,8.621647834777832
10,549,8.594305038452148
11,599,8.567303657531738
12,649,8.550618171691895
13,699,8.527735710144043
14,749,8.51499080657959
15,799,8.499163627624512
16,849,8.474260330200195
17,899,8.468302726745605
18,949,8.448057174682617
19,999,8.4329195022583
20,1049,8.422172546386719
21,1099,8.408411979675293
22,1149,8.397248268127441
23,1199,8.386813163757324
24,1249,8.372041702270508
25,1299,8.365464210510254
26,1349,8.355725288391113
27,1399,8.341312408447266
28,1449,8.334786415100098
29,1499,8.320011138916016
30,1549,8.310821533203125
31,1599,8.306676864624023
32,1649,8.291888236999512
33,1699,8.29159164428711
34,1749,8.281696319580078
35,1799,8.266615867614746
36,1849,8.265966415405273
37,1899,8.255476951599121
38,1949,8.245034217834473
39,1999,8.237184524536133
40,2049,8.234476089477539
41,2099,8.219407081604004
42,2149,8.21859359741211
43,2199,8.207661628723145
44,2249,8.207919120788574
45,2299,8.198467254638672
46,2349,8.185444831848145
47,2399,8.187495231628418
48,2449,8.174620628356934
49,2499,8.166952133178711
50,2549,8.165215492248535
51,2599,8.155895233154297
52,2649,8.152687072753906
53,2699,8.147870063781738
54,2749,8.136886596679688
55,2799,8.136849403381348
56,2849,8.127864837646484
57,2899,8.119636535644531
58,2949,8.118279457092285
59,2999,8.110791206359863
60,3049,8.101160049438477
61,3099,8.100214004516602
62,3149,8.091779708862305
63,3199,8.091780662536621
64,3249,8.086893081665039
65,3299,8.073594093322754
66,3349,8.077935218811035
67,3399,8.06684398651123
68,3449,8.060274124145508
69,3499,8.057470321655273
70,3549,8.051657676696777
71,3599,8.047192573547363
72,3649,8.04350757598877
73,3699,8.034771919250488
74,3749,8.034424781799316
75,3799,8.030560493469238
76,3849,8.02167797088623
77,3899,8.020183563232422
78,3949,8.010597229003906
79,3999,8.005868911743164
80,4049,8.006509780883789
81,4099,7.995853900909424
82,4149,7.999441623687744
83,4199,7.993118762969971
84,4249,7.981897354125977
85,4299,7.985395431518555
86,4349,7.97801399230957
87,4399,7.970840930938721
88,4449,7.966516494750977
89,4499,7.966620922088623
90,4549,7.95461368560791
91,4599,7.956893444061279
92,4649,7.948716640472412
93,4699,7.9514055252075195
94,4749,7.9447526931762695
95,4799,7.934266567230225
96,4849,7.938983917236328
97,4899,7.928032398223877
98,4949,7.922805309295654
99,4999,7.923424243927002
